,year,month,area,type,kw
301,2016,2,3,6,1628737
302,2016,2,3,7,5466706
303,2016,2,3,0,197899709
304,2016,2,4,1,47400209
305,2016,2,4,2,63857786
306,2016,2,4,3,5450472
307,2016,2,4,4,163148238
308,2016,2,4,5,6507567
309,2016,2,4,6,2522992
310,2016,2,4,7,4773525
311,2016,2,4,0,293660789
312,2016,2,5,1,27053212
313,2016,2,5,2,26821820
314,2016,2,5,3,3142504
315,2016,2,5,4,2848254
316,2016,2,5,5,1270687
317,2016,2,5,6,1118820
318,2016,2,5,7,3590767
319,2016,2,5,0,65846064
320,2017,2,1,1,12093717
321,2017,2,1,2,34559482
322,2017,2,1,3,3685544
323,2017,2,1,4,2664659
324,2017,2,1,5,118395
325,2017,2,1,6,732245
326,2017,2,1,7,2520542
327,2017,2,1,0,56374584
328,2017,2,2,1,38453497
329,2017,2,2,2,72187139
330,2017,2,2,3,2000887
331,2017,2,2,4,25951272
332,2017,2,2,5,656270
333,2017,2,2,6,1266128
334,2017,2,2,7,3067149
335,2017,2,2,0,143582342
336,2017,2,3,1,52245734
337,2017,2,3,2,67547613
338,2017,2,3,3,12211896
339,2017,2,3,4,58195207
340,2017,2,3,5,2466306
341,2017,2,3,6,1584586
342,2017,2,3,7,5288041
343,2017,2,3,0,199539383
344,2017,2,4,1,47289307
345,2017,2,4,2,66018218
346,2017,2,4,3,5143655
347,2017,2,4,4,175292841
348,2017,2,4,5,6084642
349,2017,2,4,6,2605478
350,2017,2,4,7,4205840
351,2017,2,4,0,306639981
352,2017,2,5,1,26905615
353,2017,2,5,2,27772410
354,2017,2,5,3,3162494
355,2017,2,5,4,3844660
356,2017,2,5,5,1182166
357,2017,2,5,6,1086904
358,2017,2,5,7,3303691
359,2017,2,5,0,67257940
360,2018,2,1,1,12783761
361,2018,2,1,2,37492338
362,2018,2,1,3,3986127
363,2018,2,1,4,2845500
364,2018,2,1,5,111899
365,2018,2,1,6,795367
366,2018,2,1,7,2461773
367,2018,2,1,0,60476765
368,2018,2,2,1,39332307
369,2018,2,2,2,77512808
370,2018,2,2,3,2456836
371,2018,2,2,4,23633550
372,2018,2,2,5,698747
373,2018,2,2,6,1248151
374,2018,2,2,7,2828427
375,2018,2,2,0,147710826
376,2018,2,3,1,54657967
377,2018,2,3,2,73171852
378,2018,2,3,3,13241973
379,2018,2,3,4,58416674
380,2018,2,3,5,2611186
381,2018,2,3,6,1610640
382,2018,2,3,7,5353435
383,2018,2,3,0,209063727
384,2018,2,4,1,49271579
385,2018,2,4,2,74730914
