,month,date,customer,demand_max(Wh),usage(kWh)
226,8,15,676251,"54,297,614.59","10,181,863.44"
227,8,16,676259,"63,639,484.51","12,860,578.75"
228,8,17,676259,"51,949,835.71","11,993,767.10"
229,8,18,676314,"81,117,410.45","15,008,253.08"
230,8,19,676374,"63,170,026.01","11,182,936.97"
231,8,20,676580,"50,678,367.53","9,993,453.70"
232,8,21,676669,"59,229,861.29","10,906,039.21"
233,8,22,676741,"45,671,592.89","9,931,263.79"
234,8,23,676743,"59,794,723.85","11,388,236.44"
235,8,24,676743,"64,281,835.97","11,912,486.07"
236,8,25,676743,"72,569,591.98","12,488,444.70"
237,8,26,676872,"50,335,568.93","11,039,799.68"
238,8,27,676912,"48,996,060.84","11,099,480.96"
239,8,28,676983,"48,157,351.42","11,036,569.49"
240,8,29,677417,"49,517,271.84","11,834,215.47"
241,8,30,677420,"53,415,478.82","12,016,367.33"
242,8,31,677457,"51,136,307.26","11,145,382.13"
243,9,01,678062,"48,376,385.26","11,683,753.69"
244,9,02,678733,"40,720,079.45","9,521,049.45"
245,9,03,679361,"46,479,865.66","10,212,886.76"
246,9,04,680075,"46,564,818.72","10,170,390.87"
247,9,05,680607,"40,416,713.14","9,753,544.72"
248,9,06,680610,"47,572,271.28","9,271,357.58"
249,9,07,680650,"48,160,219.63","11,034,311.57"
250,9,08,681367,"49,047,976.78","11,054,374.04"
251,9,09,682026,"75,545,713.27","11,415,963.93"
252,9,10,682856,"54,466,914.02","10,599,922.95"
253,9,11,683624,"54,709,346.45","11,548,920.88"
254,9,12,684358,"46,610,488.46","13,267,265.40"
255,9,13,684377,"52,208,098.03","13,009,049.55"
256,9,14,684428,"53,235,318.82","13,071,093.72"
257,9,15,685171,"64,282,424.42","14,928,813.06"
258,9,16,686276,"53,086,284.07","12,426,947.37"
259,9,17,687355,"184,710,661.46","19,025,449.75"
260,9,18,688227,"64,661,302.66","14,634,470.03"
261,9,19,689437,"71,122,591.75","14,940,599.77"
262,9,20,689816,"47,177,081.66","11,266,199.61"
263,9,21,689817,"69,186,614.02","15,071,153.50"
264,9,22,689821,"66,847,706.30","15,650,297.50"
265,9,23,689828,"64,989,201.91","13,323,043.08"
266,9,24,689850,"68,056,722.60","15,541,533.18"
267,9,25,690726,"56,093,144.66","11,362,678.98"
268,9,26,691665,"146,612,848.44","18,020,046.35"
269,9,27,691671,"86,421,055.68","15,163,826.57"
270,9,28,691706,"46,897,084.70","11,851,479.43"
271,9,29,698076,"65,134,753.73","14,591,860.42"
272,9,30,699473,"69,404,588.28","13,614,177.18"
273,10,01,687167,"65,960,944.46","6,200,904.63"
274,10,02,699563,"65,766,685.34","14,943,717.25"
275,10,03,700204,"64,010,509.94","13,672,791.50"
276,10,04,700220,"68,500,588.58","14,561,277.42"
277,10,05,700232,"48,053,133.17","12,302,416.67"
278,10,06,700275,"65,727,849.86","14,600,587.89"
279,10,07,701212,"66,125,754.60","14,914,010.73"
280,10,08,702167,"127,857,522.62","18,448,659.44"
281,10,09,703905,"110,314,844.42","16,040,328.54"
282,10,10,705122,"255,814,664.06","17,100,355.46"
283,10,11,705136,"64,081,076.28","13,621,274.81"
284,10,12,705146,"65,796,359.30","15,835,844.71"
285,10,13,705187,"85,998,797.98","15,959,661.47"
286,10,14,709069,"91,289,257.49","16,130,796.20"
287,10,15,713638,"48,645,343.25","11,700,752.50"
288,10,16,715895,"48,437,853.02","10,649,765.79"
289,10,17,716126,"44,737,025.62","11,103,839.40"
290,10,18,716143,"53,130,689.64","12,035,471.50"
291,10,19,717816,"67,045,096.20","14,481,354.76"
292,10,20,721029,"61,815,861.89","12,556,513.31"
293,10,21,722240,"87,546,174.17","13,502,688.54"
294,10,22,723238,"63,469,504.70","13,735,963.08"
295,10,23,726427,"66,229,803.94","14,105,625.87"
296,10,24,726589,"46,206,814.06","10,212,281.42"
297,10,25,726598,"51,308,182.75","11,643,726.29"
298,10,26,727324,"65,567,403.34","13,375,846.57"
299,10,27,728111,"70,514,683.34","15,092,216.24"
300,10,28,729103,"65,252,908.01","14,356,240.83"
301,10,29,730251,"79,896,617.66","14,543,712.06"
302,10,30,731176,"75,820,797.62","14,932,870.59"
303,10,31,731330,"67,884,687.91","15,205,847.41"
304,11,01,731338,"77,094,132.98","15,366,911.32"
305,11,02,732291,"76,796,736.17","17,427,097.77"
306,11,03,735073,"50,402,073.43","12,915,492.11"
307,11,04,736153,"76,396,928.90","16,115,801.43"
308,11,05,736616,"76,333,767.79","12,957,658.95"
309,11,06,737012,"49,058,774.02","13,205,699.24"
310,11,07,737117,"55,297,811.86","11,433,967.36"
311,11,08,737126,"141,905,935.44","13,218,532.45"
312,11,09,738397,"70,160,722.51","16,955,177.84"
313,11,10,738976,"59,454,029.21","14,246,906.34"
314,11,11,739305,"82,812,397.73","18,968,075.03"
315,11,12,739669,"62,957,138.98","13,207,403.62"
316,11,13,739832,"78,141,952.32","18,356,953.52"
317,11,14,739864,"46,527,470.54","12,113,821.35"
318,11,15,739879,"50,492,597.78","12,633,434.13"
319,11,16,710114,"79,895,451.58","16,185,816.63"
320,11,17,710097,"73,251,567.77","15,990,792.01"
321,11,18,713231,"58,773,540.05","12,357,717.56"
322,11,19,713486,"51,401,250.19","13,365,977.50"
323,11,20,713636,"69,089,260.15","15,757,012.15"
324,11,21,713664,"56,283,815.30","14,564,410.03"
325,11,22,713673,"80,799,601.27","16,789,615.64"
326,11,23,713360,"72,637,875.00","15,725,123.75"
327,11,24,713081,"72,018,056.38","10,570,928.34"
328,11,25,712858,"77,952,406.73","17,069,348.61"
329,11,26,712556,"57,093,271.42","13,336,810.47"
330,11,27,712556,"47,517,521.57","12,154,499.63"
331,11,28,712556,"54,754,358.42","11,959,936.34"
332,11,29,712556,"223,495,361.71","18,386,948.46"
333,11,30,712545,"70,282,289.02","17,011,730.86"
334,12,01,714160,"75,313,222.99","16,135,211.85"
335,12,02,714126,"50,315,700.58","12,730,521.08"
336,12,03,716063,"90,474,457.94","14,103,812.67"
337,12,04,716299,"108,353,356.94","11,300,697.24"
338,12,05,716217,"58,275,498.26","13,657,316.74"
339,12,06,716251,"60,240,007.13","12,356,993.91"
340,12,07,716150,"67,262,207.52","16,671,442.13"
341,12,08,716535,"74,245,782.07","12,911,894.91"
342,12,09,716676,"67,597,312.32","15,981,043.45"
343,12,10,716858,"141,501,611.28","19,191,906.61"
344,12,11,718334,"94,502,216.45","14,289,218.09"
345,12,12,718517,"47,520,314.18","13,254,959.30"
346,12,13,718534,"53,075,592.29","12,663,690.12"
347,12,14,718564,"50,535,129.50","13,205,188.38"
348,12,15,721826,"178,989,498.91","14,421,100.51"
349,12,16,721572,"50,453,375.45","13,143,844.34"
350,12,17,721603,"67,116,983.30","13,553,240.88"
351,12,18,722181,"60,432,291.77","15,878,710.25"
