,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar,customer,wh,kwh
105,2021,4,16,13.1,9,0,67.5,10.87,668799,35967949.03,9850072.84
106,2021,4,17,11.3,2.8,0,55.6,25.17,668868,63568397.66,10150712.38
107,2021,4,18,11,0.9,0,49.4,27.94,668998,44191536.07,10116177.34
108,2021,4,19,12.8,0.4,0,53.4,28.14,668942,34364368.03,10067214.54
109,2021,4,20,15.9,1.9,0,48.9,27,668777,31076241084,10067214.54
110,2021,4,21,19.2,8.1,0,37.9,19.37,668636,36566735.88,10011529.6
111,2021,4,22,19.7,9.5,0,36.5,10.47,668443,42754053.82,9834486.62
112,2021,4,23,21.3,7.6,0,28.4,21.81,668197,42165563.64,9880064.72
113,2021,4,24,19.1,5.5,0,33.5,26.14,667965,32420656.73,8983125.41
114,2021,4,25,17.8,3.1,0,51.1,22.24,667965,44454647.64,9458350.74
115,2021,4,26,16.5,4.8,0,50.6,26.52,667971,42297781.9,8846634.54
116,2021,4,27,16.6,8.6,0,53.8,15.23,667675,35030119.51,9587004.8
117,2021,4,28,17.9,8.3,0,53.8,21.43,667491,33058837.03,9269369.12
118,2021,4,29,17.4,6.1,1.8,47.5,26.41,667338,33582251.93,9442716.28
119,2021,4,30,14.7,6.1,0.3,59.8,27.07,667213,34233230.35,9425534.27
120,2021,5,1,10.6,7.6,12.8,78.8,11.22,667086,33217106.21,9709699.05
121,2021,5,2,12.3,3.9,0,69.5,20.18,971,35062523.38,8687440.4
122,2021,5,3,15.6,2.9,0,61.9,28.3,667077,34084315.2,8862356.46
123,2021,5,4,17.4,9.8,13.6,87.1,7.68,667071,44643186.91,10171799.74
124,2021,5,5,15,2.9,0,57.1,29.19,667037,31460224.51,9044358.37
125,2021,5,6,16,6.1,0,43.6,22.42,667017,46055617.22,9112801.72
126,2021,5,7,16.3,4.8,0,49.9,14.29,666962,36253649.4,10182513.06
127,2021,5,8,16.2,3.3,0,58.9,27,666837,37807059.41,9824714.49
128,2021,5,9,17.5,1.6,0,43.8,29.04,666787,33305398.18,9215412.59
129,2021,5,10,18.3,9.5,0,39.8,11.37,666779,32489951.74,9754259.83
130,2021,5,11,19.4,9.3,0,55.8,13.85,666736,45687759.53,10086434.16
131,2021,5,12,22.2,4.9,0,48.5,23.31,666654,45521609.11,9996657.93
132,2021,5,13,22.5,2.8,0,62.8,27.09,666616,48304202.81,9889388.13
133,2021,5,14,23,8.5,0,66.8,20.85,666656,59310293.33,9427237.72
134,2021,5,15,21.6,10,30.2,96.1,6.27,666961,34198756.22,9701934.4
135,2021,5,16,20.8,10,59.6,99,5.31,666865,51966305.98,10349121.05
136,2021,5,17,15.9,8.4,1.4,98.1,6.29,666904,33359473.92,9331180.46
137,2021,5,18,18.1,7.5,0,82.1,20.51,666857,32743812.79,8875947.61
138,2021,5,19,21.2,6.4,0,63.3,26.71,666878,42172997.21,9516881.62
139,2021,5,20,16.5,9.9,11.2,93.4,5.17,666976,43599119.26,10095373.64
140,2021,5,21,16.4,6.5,0.2,82.1,19.07,666846,34829535.67,9611809.57
141,2021,5,22,19.3,1.5,0,67.3,29.55,666787,43012038.05,9311177.23
142,2021,5,23,22,5.9,0,66.4,25.99,666787,31231882.46,8875300.77
143,2021,5,24,19.9,5,0.4,68.9,25.07,666788,42671540.21,9654598.78
144,2021,5,25,17.6,5.4,0,62.1,24.88,666765,43436189.98,8701136.38
145,2021,5,26,18.3,10,0,59.8,15.72,667470,42490999.99,8768260.31
146,2021,5,27,16.8,5.9,0,84.9,14.99,667618,41699670.74,9099135.42
147,2021,5,28,17.9,4.1,10,80.6,19.25,667625,133946276.2,13406684.8
148,2021,5,29,19.4,1.1,0,68.8,29.2,667556,50577395.35,9745642.88
149,2021,5,30,22.1,2.4,0,49.1,29.57,668276,68822908.97,10266142.51
150,2021,5,31,23.7,3,0,43,28.51,668191,61456926.48,10942494.36
151,2021,6,1,23.5,4,0,51.3,27.42,668291,43770318.43,10171579.92
152,2021,6,2,23.4,6.6,0,61,21.53,668041,72243554.98,11440269.04
153,2021,6,3,19.8,9.5,22.7,92.6,5.13,668080,77335606.18,11319210.75
154,2021,6,4,20,4.6,1.4,67.1,29.77,668269,48445498.27,10609431.1
155,2021,6,5,20.9,2.9,0,81.1,22.66,668516,69333106.34,11782179.27
156,2021,6,6,22.8,1.6,0,61.6,25.15,668849,73601544.48,11143117.53
157,2021,6,7,24.1,4.1,0,56.3,25.55,668849,59495383.82,11297349.15
158,2021,6,8,25.5,3.8,0,57.5,28.42,668849,47904907.37,10003843.15
159,2021,6,9,26,3.3,0,61.5,28.61,744440,69644321.81,13430813.5
160,2021,6,10,23.6,9.3,9.7,70.8,11.99,668850,72067114.15,12116275.58
161,2021,6,11,24.3,7,27.4,84.4,23.36,669017,75825506.81,13752441.58
162,2021,6,12,25.1,7.4,0,83.4,21.84,669063,65446592.54,11663369.59
163,2021,6,13,23.9,6,0,83.8,25.61,669327,70000597.51,10547766.46
164,2021,6,14,23.4,7.5,0,82.3,20.03,669060,34725142.18,9374466.34
165,2021,6,15,20.9,9.6,21.2,93.8,5.95,669378,58291973.45,12488712.08
166,2021,6,16,23.4,7.1,0,76.9,24.6,669475,199619645.2,14184481.22
167,2021,6,17,22.4,8.6,0.9,82.9,10.65,670094,83746260.65,14118898.7
168,2021,6,18,21.3,9.6,4.1,97.4,0,670287,60816768.82,10836706.61
169,2021,6,19,23.1,4.6,0,80,24.58,670700,63979975.99,11877432.7
170,2021,6,20,24,5.8,0,64.8,27.47,671346,74757811.99,12589555.05
171,2021,6,21,25.1,1.9,0,55.4,30.89,671380,103827643.6,13433525.3
172,2021,6,22,24.3,3.6,0,70,25.03,671569,89875804.99,15306358.32
