,cloud,year,month,day,date,temp,rainfall_total,Humidity_mean,solar
134,10.0,2021,5,15,2021-05-15,21.6,30.2,96.1,6.27
135,10.0,2021,5,16,2021-05-16,20.8,59.6,99.0,5.31
136,8.4,2021,5,17,2021-05-17,15.9,1.4,98.1,6.29
137,7.5,2021,5,18,2021-05-18,18.1,0.0,82.1,20.51
138,6.4,2021,5,19,2021-05-19,21.2,0.0,63.3,26.71
139,9.9,2021,5,20,2021-05-20,16.5,11.2,93.4,5.17
140,6.5,2021,5,21,2021-05-21,16.4,0.2,82.1,19.07
141,1.5,2021,5,22,2021-05-22,19.3,0.0,67.3,29.55
142,5.9,2021,5,23,2021-05-23,22.0,0.0,66.4,25.99
143,5.0,2021,5,24,2021-05-24,19.9,0.4,68.9,25.07
144,5.4,2021,5,25,2021-05-25,17.6,0.0,62.1,24.88
145,10.0,2021,5,26,2021-05-26,18.3,0.0,59.8,15.72
146,5.9,2021,5,27,2021-05-27,16.8,0.0,84.9,14.99
147,4.1,2021,5,28,2021-05-28,17.9,10.0,80.6,19.25
148,1.1,2021,5,29,2021-05-29,19.4,0.0,68.8,29.2
149,2.4,2021,5,30,2021-05-30,22.1,0.0,49.1,29.57
150,3.0,2021,5,31,2021-05-31,23.7,0.0,43.0,28.51
151,4.0,2021,6,1,2021-06-01,23.5,0.0,51.3,27.42
152,6.6,2021,6,2,2021-06-02,23.4,0.0,61.0,21.53
153,9.5,2021,6,3,2021-06-03,19.8,22.7,92.6,5.13
154,4.6,2021,6,4,2021-06-04,20.0,1.4,67.1,29.77
155,2.9,2021,6,5,2021-06-05,20.9,0.0,81.1,22.66
156,1.6,2021,6,6,2021-06-06,22.8,0.0,61.6,25.15
157,4.1,2021,6,7,2021-06-07,24.1,0.0,56.3,25.55
158,3.8,2021,6,8,2021-06-08,25.5,0.0,57.5,28.42
159,3.3,2021,6,9,2021-06-09,26.0,0.0,61.5,28.61
160,9.3,2021,6,10,2021-06-10,23.6,9.7,70.8,11.99
161,7.0,2021,6,11,2021-06-11,24.3,27.4,84.4,23.36
162,7.4,2021,6,12,2021-06-12,25.1,0.0,83.4,21.84
163,6.0,2021,6,13,2021-06-13,23.9,0.0,83.8,25.61
164,7.5,2021,6,14,2021-06-14,23.4,0.0,82.3,20.03
165,9.6,2021,6,15,2021-06-15,20.9,21.2,93.8,5.95
