year,month,type,kw
2022,5,심 야,3973481
2022,5,일반용,217010132
2022,5,주택용,164273574
2022,6,가로등,5591780
2022,6,교육용,23293874
2022,6,농사용,5868466
2022,6,산업용,263086823
2022,6,심 야,3392893
2022,6,일반용,245130527
2022,6,주택용,171200654
2022,7,가로등,5393415
2022,7,교육용,29711525
2022,7,농사용,6442917
2022,7,산업용,282528446
2022,7,심 야,3524894
2022,7,일반용,295199044
2022,7,주택용,215998337
2022,8,가로등,5711285
2022,8,교육용,25994225
2022,8,농사용,8112063
2022,8,산업용,274886008
2022,8,심 야,3432259
2022,8,일반용,317419045
2022,8,주택용,256459950
2022,9,가로등,6117580
2022,9,교육용,26128585
2022,9,농사용,7652187
2022,9,산업용,257990750
2022,9,심 야,2880597
2022,9,일반용,284745728
2022,9,주택용,221372316
2022,10,가로등,6558372
2022,10,교육용,22138785
2022,10,농사용,6370510
2022,10,산업용,244040896
2022,10,심 야,2663683
2022,10,일반용,234836871
2022,10,주택용,174970366
2022,11,가로등,7080851
2022,11,교육용,21471834
2022,11,농사용,9822715
2022,11,산업용,254434089
2022,11,심 야,5035510
2022,11,일반용,220521174
2022,11,주택용,172158352
2022,12,가로등,7316937
2022,12,교육용,31159967
2022,12,농사용,8624110
2022,12,산업용,256259483
2022,12,심 야,8466299
2022,12,일반용,251968761
2022,12,주택용,180572866
